"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,147,"COVID-19"
"DE","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,4148,"COVID-19"
"DE","05-14",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,61,"COVID-19"
"DE","15-34",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,343,"COVID-19"
"DE","35-59",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,628,"COVID-19"
"DE","60-79",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,1388,"COVID-19"
"DE","80+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,1577,"COVID-19"
"DE-BB","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,153,"COVID-19"
"DE-BE","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,138,"COVID-19"
"DE-BW","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,284,"COVID-19"
"DE-BY","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,795,"COVID-19"
"DE-HB","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,25,"COVID-19"
"DE-HE","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,279,"COVID-19"
"DE-HH","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,56,"COVID-19"
"DE-MV","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,120,"COVID-19"
"DE-NI","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,243,"COVID-19"
"DE-NW","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,1167,"COVID-19"
"DE-RP","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,200,"COVID-19"
"DE-SH","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,148,"COVID-19"
"DE-SL","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,61,"COVID-19"
"DE-SN","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,208,"COVID-19"
"DE-ST","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,125,"COVID-19"
"DE-TH","00+",2022-10-06,2022-09-08,"-28 day ahead inc hosp","mean",NA,134,"COVID-19"
"DE","00-04",2022-10-06,2022-09-08,"-28 day ahead inc hosp","quantile",0.025,145,"COVID-19"
