model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975,retrospective
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-HE,00+,COVID-19,32.0,31.0,31.0,31.0,31.0,32.0,33.0,34.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-HH,00+,COVID-19,19.0,17.0,17.0,17.0,19.0,20.0,23.0,26.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-MV,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-NI,00+,COVID-19,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-NW,00+,COVID-19,83.0,74.0,76.0,79.0,82.0,87.0,92.0,99.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-RP,00+,COVID-19,20.0,20.0,20.0,20.0,20.0,20.0,21.0,23.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-SH,00+,COVID-19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-SL,00+,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-SN,00+,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-ST,00+,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-05,DE-TH,00+,COVID-19,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE,00+,COVID-19,327.0,314.0,316.0,319.0,324.0,332.0,340.0,353.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE,00-04,COVID-19,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE,05-14,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE,15-34,COVID-19,69.0,66.0,67.0,68.0,69.0,71.0,73.0,75.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE,35-59,COVID-19,121.0,115.0,116.0,118.0,120.0,123.0,127.0,133.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE,60-79,COVID-19,86.0,83.0,83.0,84.0,85.0,87.0,89.0,92.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE,80+,COVID-19,37.0,36.0,36.0,36.0,37.0,38.0,39.0,41.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-BB,00+,COVID-19,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-BE,00+,COVID-19,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-BW,00+,COVID-19,44.0,43.0,43.0,43.0,43.0,44.0,45.0,46.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-BY,00+,COVID-19,46.0,46.0,46.0,46.0,46.0,47.0,47.0,48.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-HB,00+,COVID-19,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-HE,00+,COVID-19,35.0,34.0,34.0,34.0,34.0,35.0,36.0,37.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-HH,00+,COVID-19,18.0,16.0,16.0,16.0,18.0,19.0,22.0,25.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-MV,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-NI,00+,COVID-19,27.0,27.0,27.0,27.0,27.0,27.0,28.0,29.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-NW,00+,COVID-19,85.0,75.0,77.0,80.0,84.0,89.0,95.0,103.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-RP,00+,COVID-19,22.0,22.0,22.0,22.0,22.0,23.0,23.0,25.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-SH,00+,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-SL,00+,COVID-19,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-SN,00+,COVID-19,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-ST,00+,COVID-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-06,DE-TH,00+,COVID-19,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE,00+,COVID-19,334.0,320.0,322.0,326.0,331.0,339.0,349.0,362.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE,00-04,COVID-19,8.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE,05-14,COVID-19,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE,15-34,COVID-19,75.0,71.0,72.0,73.0,75.0,76.0,78.0,81.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE,35-59,COVID-19,127.0,120.0,121.0,123.0,126.0,129.0,134.0,140.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE,60-79,COVID-19,83.0,80.0,80.0,81.0,83.0,84.0,87.0,90.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE,80+,COVID-19,38.0,37.0,37.0,37.0,38.0,39.0,41.0,42.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-BB,00+,COVID-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-BE,00+,COVID-19,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-BW,00+,COVID-19,49.0,48.0,48.0,48.0,48.0,49.0,50.0,51.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-BY,00+,COVID-19,48.0,47.0,47.0,47.0,47.0,48.0,49.0,50.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-HB,00+,COVID-19,5.0,4.0,4.0,4.0,4.0,5.0,6.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-HE,00+,COVID-19,32.0,31.0,31.0,31.0,31.0,32.0,33.0,34.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-HH,00+,COVID-19,18.0,16.0,16.0,17.0,18.0,20.0,22.0,25.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-MV,00+,COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-NI,00+,COVID-19,28.0,27.0,27.0,27.0,27.0,28.0,29.0,30.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-NW,00+,COVID-19,82.0,72.0,74.0,77.0,81.0,86.0,93.0,101.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-RP,00+,COVID-19,28.0,27.0,27.0,27.0,27.0,28.0,29.0,31.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-SH,00+,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-SL,00+,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-SN,00+,COVID-19,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-ST,00+,COVID-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-07,DE-TH,00+,COVID-19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE,00+,COVID-19,332.0,317.0,319.0,323.0,329.0,337.0,347.0,361.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE,00-04,COVID-19,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE,05-14,COVID-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE,15-34,COVID-19,82.0,78.0,79.0,80.0,82.0,84.0,86.0,89.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE,35-59,COVID-19,121.0,114.0,115.0,117.0,119.0,123.0,128.0,134.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE,60-79,COVID-19,81.0,78.0,78.0,79.0,81.0,83.0,85.0,88.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE,80+,COVID-19,42.0,40.0,40.0,40.0,41.0,43.0,44.0,46.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-BB,00+,COVID-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-BE,00+,COVID-19,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-BW,00+,COVID-19,51.0,50.0,50.0,50.0,50.0,51.0,52.0,54.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-BY,00+,COVID-19,52.0,51.0,51.0,51.0,51.0,52.0,53.0,54.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-HB,00+,COVID-19,6.0,5.0,5.0,5.0,5.0,6.0,7.0,10.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-HE,00+,COVID-19,32.0,31.0,31.0,31.0,31.0,32.0,33.0,34.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-HH,00+,COVID-19,20.0,17.0,17.0,18.0,19.0,21.0,23.0,27.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-MV,00+,COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-NI,00+,COVID-19,25.0,24.0,24.0,24.0,24.0,25.0,26.0,27.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-NW,00+,COVID-19,73.0,63.0,65.0,68.0,72.0,77.0,83.0,91.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-RP,00+,COVID-19,27.0,26.0,26.0,26.0,26.0,27.0,28.0,30.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-SH,00+,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-SL,00+,COVID-19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-SN,00+,COVID-19,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-ST,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-08,DE-TH,00+,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE,00+,COVID-19,319.0,304.0,307.0,310.0,316.0,325.0,334.0,348.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE,00-04,COVID-19,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE,05-14,COVID-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE,15-34,COVID-19,77.0,73.0,74.0,75.0,77.0,79.0,81.0,84.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE,35-59,COVID-19,114.0,107.0,108.0,110.0,112.0,116.0,121.0,127.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE,60-79,COVID-19,85.0,81.0,81.0,82.0,84.0,86.0,89.0,92.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE,80+,COVID-19,40.0,38.0,38.0,38.0,39.0,41.0,42.0,45.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-BB,00+,COVID-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-BE,00+,COVID-19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-BW,00+,COVID-19,51.0,50.0,50.0,50.0,51.0,52.0,53.0,54.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-BY,00+,COVID-19,53.0,52.0,52.0,52.0,52.0,53.0,54.0,56.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-HB,00+,COVID-19,6.0,5.0,5.0,5.0,5.0,6.0,7.0,10.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-HE,00+,COVID-19,30.0,29.0,29.0,29.0,29.0,30.0,31.0,32.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-HH,00+,COVID-19,14.0,12.0,12.0,12.0,13.0,15.0,17.0,20.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-MV,00+,COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-NI,00+,COVID-19,26.0,25.0,25.0,25.0,25.0,26.0,27.0,28.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-NW,00+,COVID-19,69.0,59.0,61.0,64.0,68.0,73.0,79.0,86.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-RP,00+,COVID-19,23.0,23.0,23.0,23.0,23.0,24.0,25.0,26.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-SH,00+,COVID-19,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-SL,00+,COVID-19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-SN,00+,COVID-19,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-ST,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-09,DE-TH,00+,COVID-19,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE,00+,COVID-19,339.0,322.0,325.0,329.0,336.0,345.0,356.0,372.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE,00-04,COVID-19,6.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE,05-14,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE,15-34,COVID-19,73.0,69.0,70.0,71.0,73.0,75.0,77.0,80.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE,35-59,COVID-19,123.0,115.0,116.0,118.0,121.0,125.0,131.0,138.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE,60-79,COVID-19,88.0,84.0,84.0,85.0,87.0,89.0,92.0,96.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE,80+,COVID-19,47.0,45.0,45.0,46.0,47.0,48.0,50.0,53.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-BB,00+,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-BE,00+,COVID-19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-BW,00+,COVID-19,47.0,46.0,46.0,46.0,47.0,48.0,49.0,50.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-BY,00+,COVID-19,56.0,55.0,55.0,55.0,55.0,56.0,58.0,59.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-HB,00+,COVID-19,7.0,6.0,6.0,6.0,6.0,7.0,9.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-HE,00+,COVID-19,31.0,30.0,30.0,30.0,30.0,31.0,32.0,34.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-HH,00+,COVID-19,7.0,6.0,6.0,6.0,7.0,8.0,9.0,11.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-MV,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-NI,00+,COVID-19,27.0,26.0,26.0,26.0,27.0,27.0,28.0,30.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-NW,00+,COVID-19,93.0,79.0,82.0,86.0,91.0,98.0,105.0,116.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-RP,00+,COVID-19,25.0,25.0,25.0,25.0,25.0,26.0,27.0,29.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-SH,00+,COVID-19,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-SL,00+,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-SN,00+,COVID-19,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-ST,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-10,DE-TH,00+,COVID-19,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE,00+,COVID-19,361.0,344.0,346.0,351.0,358.0,368.0,381.0,398.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE,00-04,COVID-19,6.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE,05-14,COVID-19,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE,15-34,COVID-19,77.0,72.0,73.0,74.0,76.0,78.0,81.0,84.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE,35-59,COVID-19,129.0,121.0,123.0,125.0,128.0,133.0,138.0,145.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE,60-79,COVID-19,91.0,87.0,88.0,89.0,90.0,93.0,96.0,100.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE,80+,COVID-19,52.0,49.0,49.0,50.0,51.0,53.0,55.0,58.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-BB,00+,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-BE,00+,COVID-19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-BW,00+,COVID-19,51.0,50.0,50.0,50.0,51.0,52.0,53.0,55.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-BY,00+,COVID-19,58.0,57.0,57.0,57.0,58.0,58.0,60.0,62.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-HB,00+,COVID-19,7.0,6.0,6.0,6.0,6.0,7.0,9.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-HE,00+,COVID-19,30.0,29.0,29.0,29.0,29.0,30.0,31.0,32.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-HH,00+,COVID-19,8.0,7.0,7.0,7.0,8.0,9.0,10.0,13.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-MV,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-NI,00+,COVID-19,27.0,26.0,26.0,26.0,27.0,27.0,28.0,30.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-NW,00+,COVID-19,110.0,94.0,97.0,102.0,108.0,116.0,125.0,137.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-RP,00+,COVID-19,24.0,24.0,24.0,24.0,24.0,25.0,26.0,28.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-SH,00+,COVID-19,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-SL,00+,COVID-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-SN,00+,COVID-19,12.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-ST,00+,COVID-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-11,DE-TH,00+,COVID-19,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE,00+,COVID-19,364.0,346.0,349.0,353.0,360.0,371.0,383.0,401.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE,00-04,COVID-19,7.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE,05-14,COVID-19,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE,15-34,COVID-19,77.0,72.0,73.0,74.0,76.0,78.0,81.0,84.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE,35-59,COVID-19,129.0,121.0,123.0,125.0,128.0,133.0,138.0,145.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE,60-79,COVID-19,88.0,84.0,84.0,86.0,87.0,90.0,92.0,96.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE,80+,COVID-19,55.0,52.0,52.0,53.0,54.0,56.0,58.0,62.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-BB,00+,COVID-19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-BE,00+,COVID-19,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-BW,00+,COVID-19,52.0,51.0,51.0,51.0,52.0,53.0,54.0,56.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-BY,00+,COVID-19,58.0,57.0,57.0,57.0,58.0,59.0,60.0,62.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-HB,00+,COVID-19,7.0,6.0,6.0,6.0,6.0,7.0,9.0,12.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-HE,00+,COVID-19,29.0,28.0,28.0,28.0,28.0,29.0,30.0,31.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-HH,00+,COVID-19,7.0,6.0,6.0,6.0,7.0,8.0,9.0,11.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-MV,00+,COVID-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True
KIT-simple_nowcast,hosp,2021-08-02,2021-07-12,DE-NI,00+,COVID-19,28.0,27.0,27.0,27.0,28.0,29.0,30.0,31.0,True
